branch_id,branch_name,city,address,postal_code,zone,socioeconomic_level,capacity_people,num_employees,open_time,close_time,peak_hours,rent_monthly,utilities_monthly,payroll_monthly,operational_cost_total,avg_monthly_income,operating_margin,profitability_pct,nearby_poi,nearby_competitors,parking,opening_year,years_operating
SUC001,Ciudad de México Centro,Ciudad de México,"Av. Reforma 234, Col. Centro",06600,Centro,Alto,120,25,11:00,23:00,"13:00-15:00, 19:00-21:00",85000.0,15000.0,180000.0,280000.0,450000.0,170000.0,37.78,"Centro comercial, oficinas corporativas",3,Sí (20 lugares),2018.0,8
SUC002,Ciudad de México Sur,Ciudad de México,"Insurgentes Sur 1520, Col. Del Valle",03100,Sur,Medio-Alto,100,22,11:00,22:30,"12:00-14:00, 19:00-20:30",72000.0,12000.0,155000.0,239000.0,380000.0,141000.0,37.11,"Zona residencial, universidades",4,Sí (15 lugares),2019.0,7
SUC003,Guadalajara,Guadalajara,"Av. Vallarta 2345, Col. Americana",44160,Centro,Medio-Alto,110,23,11:00,23:00,"13:00-15:00, 19:00-21:00",55000.0,10000.0,145000.0,210000.0,400000.0,190000.0,47.5,"Zona turística, hoteles",5,Sí (18 lugares),2019.0,7
SUC004,Monterrey,Monterrey,"Av. Constitución 890, Col. Centro",64000,Norte,Alto,130,28,11:00,23:30,"12:00-14:00, 19:00-20:30",78000.0,14000.0,195000.0,287000.0,480000.0,193000.0,40.21,"Zona financiera, corporativos",2,Sí (25 lugares),2017.0,9
SUC005,Puebla,Puebla,"Blvd. 5 de Mayo 456, Col. Centro",72000,Centro,Medio,80,18,11:00,22:00,"13:00-15:00, 19:00-21:00",35000.0,7000.0,110000.0,152000.0,280000.0,128000.0,45.71,"Centro histórico, mercado",7,No,2020.0,6
SUC006,Querétaro,Querétaro,"Av. Universidad 123, Col. Centro",76000,Centro,Medio-Alto,95,20,11:00,22:30,"13:00-15:00, 19:00-21:00",48000.0,9000.0,130000.0,187000.0,350000.0,163000.0,46.57,"Zona industrial, parques",3,Sí (12 lugares),2020.0,6
SUC007,Cancún,Cancún,"Blvd. Kukulcán Km 12.5, Zona Hotelera",77500,Turística,Alto,150,32,10:00,00:00,"13:00-15:00, 20:00-22:00",120000.0,22000.0,240000.0,382000.0,580000.0,198000.0,34.14,"Hoteles, playa, turismo",8,Sí (30 lugares),2018.0,8
SUC008,Mérida,Mérida,"Paseo Montejo 456, Col. Centro",97000,Centro,Medio,85,19,11:00,22:00,"13:00-15:00, 19:00-21:00",38000.0,8000.0,115000.0,161000.0,300000.0,139000.0,46.33,"Zona turística, museos",4,Sí (10 lugares),2021.0,5
SUC009,Tijuana,Tijuana,"Av. Revolución 789, Col. Centro",22000,Frontera,Medio-Alto,90,20,11:00,23:00,"12:00-14:00, 19:00-20:30",52000.0,11000.0,135000.0,198000.0,320000.0,122000.0,38.12,"Frontera, comercio",6,Sí (15 lugares),2021.0,5
SUC010,León,León,"Blvd. López Mateos 234, Col. Centro",37000,Industrial,Medio,75,17,11:00,21:30,"12:00-14:00, 19:00-20:30",32000.0,6500.0,105000.0,143500.0,260000.0,116500.0,44.81,"Zona industrial, fábricas",5,Sí (8 lugares),2022.0,4
