branch_target,persona,customers,promo_acceptance_rate,campaign_message,recommended_channel
Ciudad de México Centro,Ocasionales Sensibles a Promoción,139,0.6402877697841727,Promociones de entrada y menú destacado para aumentar ticket y visitas.,WhatsApp + App + Email
León,Ocasionales Sensibles a Promoción,132,0.696969696969697,Promociones de entrada y menú destacado para aumentar ticket y visitas.,WhatsApp + App + Email
Guadalajara,Ocasionales Sensibles a Promoción,121,0.6942148760330579,Promociones de entrada y menú destacado para aumentar ticket y visitas.,WhatsApp + App + Email
Tijuana,Ocasionales Sensibles a Promoción,121,0.6363636363636364,Promociones de entrada y menú destacado para aumentar ticket y visitas.,WhatsApp + App + Email
Ciudad de México Sur,Ocasionales Sensibles a Promoción,117,0.6837606837606838,Promociones de entrada y menú destacado para aumentar ticket y visitas.,WhatsApp + App + Email
Puebla,Ocasionales Sensibles a Promoción,115,0.6086956521739131,Promociones de entrada y menú destacado para aumentar ticket y visitas.,WhatsApp + App + Email
Cancún,Ocasionales Sensibles a Promoción,114,0.6754385964912281,Promociones de entrada y menú destacado para aumentar ticket y visitas.,WhatsApp + App + Email
Querétaro,Ocasionales Sensibles a Promoción,113,0.6548672566371682,Promociones de entrada y menú destacado para aumentar ticket y visitas.,WhatsApp + App + Email
Monterrey,Ocasionales Sensibles a Promoción,105,0.580952380952381,Promociones de entrada y menú destacado para aumentar ticket y visitas.,WhatsApp + App + Email
Mérida,Ocasionales Sensibles a Promoción,103,0.6407766990291263,Promociones de entrada y menú destacado para aumentar ticket y visitas.,WhatsApp + App + Email
Guadalajara,Leales Premium,45,0.6666666666666666,"Ofrecer experiencias VIP, maridajes premium y beneficios exclusivos de lealtad.",WhatsApp + App + Email
Tijuana,Leales Premium,39,0.5897435897435898,"Ofrecer experiencias VIP, maridajes premium y beneficios exclusivos de lealtad.",WhatsApp + App + Email
Mérida,Leales Premium,35,0.6571428571428571,"Ofrecer experiencias VIP, maridajes premium y beneficios exclusivos de lealtad.",WhatsApp + App + Email
Monterrey,Leales Premium,33,0.6666666666666666,"Ofrecer experiencias VIP, maridajes premium y beneficios exclusivos de lealtad.",WhatsApp + App + Email
Puebla,Leales Premium,32,0.625,"Ofrecer experiencias VIP, maridajes premium y beneficios exclusivos de lealtad.",WhatsApp + App + Email
Cancún,Leales Premium,31,0.6774193548387096,"Ofrecer experiencias VIP, maridajes premium y beneficios exclusivos de lealtad.",WhatsApp + App + Email
Ciudad de México Centro,Leales Premium,29,0.7586206896551724,"Ofrecer experiencias VIP, maridajes premium y beneficios exclusivos de lealtad.",WhatsApp + App + Email
Ciudad de México Sur,Leales Premium,27,0.5925925925925926,"Ofrecer experiencias VIP, maridajes premium y beneficios exclusivos de lealtad.",WhatsApp + App + Email
Querétaro,Leales Premium,26,0.7307692307692307,"Ofrecer experiencias VIP, maridajes premium y beneficios exclusivos de lealtad.",WhatsApp + App + Email
León,Leales Premium,23,0.6956521739130435,"Ofrecer experiencias VIP, maridajes premium y beneficios exclusivos de lealtad.",WhatsApp + App + Email
